"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\index.js", "JavaScript", -105, 0, 0, 0, -7, -19, -131
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\middleware.js", "JavaScript", -42, 0, 0, 0, 0, -7, -49
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\band.js", "JavaScript", -39, 0, 0, 0, 0, -3, -42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\live.js", "JavaScript", -28, 0, 0, 0, 0, -3, -31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\song.js", "JavaScript", -46, 0, 0, 0, 0, -1, -47
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\user.js", "JavaScript", -37, 0, 0, 0, 0, -5, -42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package-lock.json", "JSON", 0, 0, -1902, 0, 0, -1, -1903
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package.json", "JSON", 0, 0, -37, 0, 0, -1, -38
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\bandShow.js", "JavaScript", -20, 0, 0, 0, 0, -2, -22
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveManagement.js", "JavaScript", -11, 0, 0, 0, 0, -1, -12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveShow.js", "JavaScript", -51, 0, 0, 0, -1, -3, -55
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\userManagement.js", "JavaScript", -13, 0, 0, 0, 0, -1, -14
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\editBand.js", "JavaScript", -63, 0, 0, 0, -1, -5, -69
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\live.js", "JavaScript", -40, 0, 0, 0, -9, -2, -51
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\liveIndex.js", "JavaScript", -5, 0, 0, 0, 0, -2, -7
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\mypage\showLive.js", "JavaScript", -64, 0, 0, 0, 0, -2, -66
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newBand.js", "JavaScript", -103, 0, 0, 0, -2, -8, -113
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newUserForm.js", "JavaScript", -41, 0, 0, 0, 0, 0, -41
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\spotify-web-api-js\spotify-web-api.js", "JavaScript", -955, 0, 0, 0, -1021, -114, -2090
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\validateForms.js", "JavaScript", -24, 0, 0, 0, 0, 0, -24
