"filename", "language", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\controllers\admin.js", "JavaScript", 0, 70, 0, 0, 10, 80
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\controllers\auth.js", "JavaScript", 0, 80, 0, 3, 11, 94
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\controllers\bands.js", "JavaScript", 0, 95, 0, 0, 6, 101
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\controllers\lives.js", "JavaScript", 0, 46, 0, 0, 9, 55
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\controllers\myPages.js", "JavaScript", 0, 38, 0, 3, 5, 46
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\index.js", "JavaScript", 0, 105, 0, 7, 19, 131
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\middleware.js", "JavaScript", 0, 42, 0, 0, 7, 49
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\band.js", "JavaScript", 0, 39, 0, 0, 3, 42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\live.js", "JavaScript", 0, 28, 0, 0, 3, 31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\song.js", "JavaScript", 0, 46, 0, 0, 1, 47
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\user.js", "JavaScript", 0, 37, 0, 0, 5, 42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package-lock.json", "JSON", 0, 0, 1902, 0, 1, 1903
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package.json", "JSON", 0, 0, 37, 0, 1, 38
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\admin.js", "JavaScript", 0, 23, 0, 0, 8, 31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\auth.js", "JavaScript", 0, 15, 0, 8, 8, 31
